iter	Passed	Remaining
0	2731	1362993
1	5220	1299907
2	7500	1242562
3	9746	1208562
4	12216	1209405
5	15113	1244374
6	18163	1279237
7	21574	1326849
8	24967	1362121
9	28180	1380858
10	29164	1296506
11	32536	1323147
12	34918	1308101
13	37100	1287923
14	37807	1222426
15	42116	1274022
16	43156	1226152
17	46193	1236946
18	48698	1232841
19	53973	1295375
20	53393	1217869
21	55690	1209996
22	58284	1208775
23	64029	1269913
24	67201	1276831
25	69723	1271104
26	72889	1276915
27	76007	1281264
28	78457	1274258
29	81193	1272034
30	83281	1259964
31	85730	1253812
32	88240	1248740
33	90350	1238335
34	92606	1230338
35	95176	1226721
36	97257	1217031
37	99317	1207486
38	101508	1199882339	103917	1195044040	106409	1191274141	109383	1192802
42	112174	1192185
43	114944	1191240
44	117691	1189988
45	120220	1186526
46	122638	1182026
47	125168	1178674
48	128060	1178682
49	130907	1178164
50	134178	1181296
51	136781	1178427
52	139646	1177773
53	143166	1182448
54	145050	1173591
55	148223	1175204
56	151294	1175851
57	154227	1175317
58	156703	1171289
59	160204	1174836
60	163402	1175963
61	165686	1170495
62	168147	1166356
63	170634	1162444
64	172923	1157255
65	175039	1151018
66	177536	1147360
67	180461	1146461
68	183765	1147865
69	186709	1146930
70	189500	1145012
71	193553	1150568
72	199229	1165357
73	201748	1161417
74	204123	1156698
75	207130	1155570
76	209826	1152680
77	212937	1152046
78	216070	1151466
79	218769	1148540
80	221357	1145045
81	224136	1142548
82	226693	1138929
83	229992	1139009
84	233199	1138564
85	235877	1135501
86	238480	1132095
87	240446	1125726
88	242786	1121181
89	246063	1120955
90	248799	1118232
91	251215	1114085
92	253318	1108607
93	255731	1104542
94	258289	1101130
95	260596	1096675
96	263126	1093196
97	266614	1093664
98	269371	1091091
99	271823	1087294
100	274944	1086165
101101	286684	11186102102	289891	11173103103	292598	11141104104	295265	11107105105	298204	11084106106	301255	11064107107	303523	11016108108	306765	11004109109	310306	11001110110	313937	11001111111	316804	10975112112	319785	10951113113	322659	10925114114	327143	10952115115	330945	10955116116	333992	10933117117	336359	10888118118	338707	10844119119	340904	10795120	332881	1042662
121121	346657	10740122122	349515	10712123123	351480	10657124	342777	1028333
125	345005	1024062
126126	358349	10524127	351870	1022623
128	354078	1018318
129129	365569	10404130130	369053	10395131	362884	1011678
132132	374161	10321133	368851	10074513134134	380541	10135135135	384621	1136	136136	387563	137	3137137	391601138	38138138	39431139	38139	139	3966140	38140	3140	399141	38141	39141	40142	393401	98142	4143	395898	978143	144	399152	9772144145	402066	974874
146	404892	972292
147	408339	971185
148	410991	968174
149	414449	967049
150	417428	964784
151	421177	964275
152	423559	960621
153	425941	956986
154	428365	953458
155	432339	953364
156	434440	949128
157	438530	949223
158	442300	948582
159	445097	9458311160	44160	452303	1161	45161	455408	9162	45162	458473	9163	45163	461087	1164	45164	464565	9165	46165	468227	9166	46166	471027	1167	46167	475075	1168	47168	477759	1169	47169	480507	1170	47170	483591	1171	48171	487184	1172	48172	491598	1173	48173	494027	1174	49174	497200	1175	49175	501065	1176	49176	504324	1177	50177	507645	1178	50178	509990	1179	50179	512187	1180	50180	514747	1181	51181	516746	1182	51182	519263	1183	51183	521248	1184	51184	523922	1185	52185	526097	1186	52186	528413	1187	52187	530474	1188	52188	532794	1189	52189	535100	190	531190	538096	191	533191	540887	1192	53192	543956	1193	540638	852759

93	556801	878253
194	560000	875898
195	563248	873610
12	793055
199	526896	790344
200	529829	788153
282622200	555227	8259201	556597	821118
829683
202	565327	827104
550135	7204	55205	553213	7205	556088	793641
